Title,reviews,stars
FABULOUS SERVICE,"Excellent!  Unfortunately, I cannot spell the young lady's name who waited on me. I think it it's Keria (sp).  She went above and beyond the call of duty. She did an  exceptional job!  And Sherri always handles or steps in and assist where needed. These two ladies are hard workers and a professional team.",5
Service is great..always there when I…,Advance America is the best fast and easy good customer service. Keep it up I will always recommend it to anyone in need of money. Lake park in Florida,5
Great customer service,Everything is so easy and everyone is so easy to deal with.,5
Awesome customer service the lady was…,Had the most amazing experience the two ladies help me. Kept everything short positive on point about receiving the loan. Definitely would recommend this place to other people's.,5
Loan,"Great customer service,explained everything thoroughly and was very polite",5
I was very pleased with the service…,Used the online service. Was approved within seconds & funds deposited within a few minutes. Excellent customer service as always. I'm a repeat customer & always have a positive experience. Thank you!,5
Always very professional and polite…,Good Morning I came in not knowing what to expect😞 I was greeted with warm ness and I appreciate that 😃 I am very happy with how everything turned out for me 😎Thank you!!!,5
your office at Wabash was my go to…,The people were very friendly and it was the easiest installment loan I've ever gotten but the only thing I did not like is that I have to pay it back in 3 months but it's a great place to go when you really need help thank you for everything,4
Great customer service and it was fast…,Signed all documents on Thursday 10/14. Still awaiting funding.,5
Very friendly service,Easy process money was in my account the first business day,5
Excellent,The girls at the office really know what they are doing and how to explain the in's and outs of what you need to do. That way all your questions are answered before you ask them!,5
I have to say they are very friendly…,Easy accessible online. Monies received quickly. Thank you for your promptness!,5
Amazing customer service,Awesome dependable fast and furious one stop shop always my go to,5
Very reliable and proficient,It does helped me lot and on online is more flexible than going to the place and waiting in the line…it is more private to do,5
Quick approval no problems,Great to work with and outstanding customer service.,5
Excellent customer service and…,"We were facing a hardship and didn't exactly know where to turn to. We saw a Advance America sign and knew right then we were right to check in. Because we've had experience previously with Advance America in the past, we decided to try again. I'm glad we did, Johanna was wonderful in assisting us. She had a great attitude, and explained everything in detail just fine. The whole experience was great, and even the inside office looked good. I know if we ever need additional financial help, we are turning to Advance America for assistance.",5
It was very good,Great quick an efficient service plus a smile to boot. Whole process only took 8 minutes.,5
This place is awesome and will work…,Enjoyed my visit,5
Very good very nice,Staff was very professional and helpful in completing my process for a loan. I am pleased with the results.,5
Awesome,"The process is so easy. I walked in asked for a loan, expecting to be denied. Nope not today. Your approved.",5
